name,producer,year,alcoholPercentage,volume,price,country,region,district,type,categoryTaste,usage,taste,tasteBitter,tasteSweetness,tasteFruitAcid,tasteBody,tasteRoughness,url,imageURL,grapes
"Grande Cuvée, La Maison Rosé",Vini Buoni AB,,12.5,1000.0,89.0,France,,,Rose wine,Fresh & Berry,"Served at 8-10 ° C as a companion drink, or with fish and chicken dishes, preferably salads.","Berry, very fresh taste with hints of red currants, herbs, raspberries and blood grapefruit.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/grande-cuvée-7765301,https://sb-product-media-prod.azureedge.net/productimages/24438757/24438757,
"Jaume Serra, Tulip Bouquet Cava Rosé",Jaume Serra,,11.5,750.0,89.0,Spain,Cava,,Sparkling wine,Rosé,Served at 8-10 ° C as an aperitif or with fish or light meat dishes.,"Fruity, very fresh taste with hints of peach, cherry, strawberry and blood orange.",0.0%,8.333333333333332%,83.33333333333334%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/jaume-serra-7591201,https://sb-product-media-prod.azureedge.net/productimages/24485460/24485460,Trepat --- Pinot noir
"Soalheiro, Alvarinho",Soalheiro,2019,12.5,750.0,135.0,Portugal,Vinho Verde,Monção e Melgaço,White wine,Fresh & Fruity,"Served at 8-10 ° C with fish or seafood dishes, or with vegetarian dishes.","Very fruity aroma with hints of white peach, honeydew melon, pear, spices and citrus.",0.0%,8.333333333333332%,75.0%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/soalheiro-7493501,https://product-cdn.systembolaget.se/productimages/24395208/24395208,Alvarinho
"Barone Ricasoli, Formulae",Barone Ricasoli,2018,12.5,3000.0,259.0,Italy,Tuscany,,Red wine,Spicy & Musty,Served at 16-18 ° C with lamb or beef dishes.,"Spicy taste with hints of cask, cherry, sage, forest raspberry, cinnamon and vanilla.",0.0%,0.0%,75.0%,58.333333333333336%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/barone-ricasoli-1230008,https://product-cdn.systembolaget.se/productimages/215617/215617,Sangiovese
"DB, Brut Cuvée",De Bortoli,,11.0,750.0,89.0,Australia,South Eastern Australia,,Sparkling wine,Dry white,"Served at 8-10 ° C as an aperitif, or with seafood dishes.","Fruity, very fresh taste with hints of green apples, peach, biscuits, honey and citrus.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/db-794001,https://product-cdn.systembolaget.se/productimages/24386125/24386125,Chardonnay --- Pinot noir
"Louis Max House, Grande Cuvée",Maison Louis Max,2018,13.0,3000.0,289.0,France,Burgundy,Beaujolais,Red wine,Soft & Berry,"Served at 12-14 ° C for dishes of fried fish or light meat, preferably cold-cut, or for vegetarian dishes.","Berry, youthful taste with hints of blueberries, raspberries, violets, lingonberries and oregano.",0.0%,0.0%,83.33333333333334%,33.33333333333333%,33.33333333333333%,https://www.systembolaget.se/produkt/vin/maison-louis-max-241708,https://product-cdn.systembolaget.se/productimages/22322312/22322312,
Legend of Bonpas,Bonpas,2019,13.0,750.0,95.0,France,Rhonedalen,Luberon,White wine,Fresh & Fruity,Served at 8-10 ° C as an aperitif or with fish or seafood dishes or with vegetarian dishes.,"Fruity, nuanced taste with hints of pineapple, peach, white flowers, galia melon, spices and pears.",0.0%,8.333333333333332%,75.0%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/légende-de-bonpas-7832901,https://sb-product-media-prod.azureedge.net/productimages/24449710/24449710,Vermentino --- White Grenache --- White Ugni --- Clairette
"Ricossa, Barbaresco Organic",Ricossa SRL,2017,14.0,750.0,159.0,Italy,Piedmont,Barbaresco,Red wine,Tight & Nuanced,Served at about 18 ° C with dark meat dishes.,"Nuanced, spicy taste with barrel character, hints of ripe strawberries, roses, dried cherries, oranges, nuts and black tea.",0.0%,0.0%,83.33333333333334%,75.0%,91.6666666666666666%,https://www.systembolaget.se/produkt/vin/ricossa-7814301,https://sb-product-media-prod.azureedge.net/productimages/24475351/24475351,Nebbiolo
"Lisa 1503, White organic",Carovin AB,,13.0,1000.0,89.0,Italy,,,White wine,Fresh & Fruity,"Served at 8-10 ° C with fish or seafood dishes, preferably salads.","Very fruity, youthful taste with hints of pear, honeydew melon, pineapple and lime peel.",0.0%,16.66666666666666464%,75.0%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/lisa-1503-7946101,https://sb-product-media-prod.azureedge.net/productimages/24422706/24422706,Chardonnay --- Catarratto
"Monlusso, Barbera",Antica Cantina Di Calosso,2019,13.5,3000.0,259.0,Italy,Piedmont,,Red wine,Fruity & Tasty,Served at 16-18 ° C with lamb or beef dishes.,"Fruity, spicy taste with barrel character, hints of dark cherries, violets, plums, blueberries and cocoa.",0.0%,0.0%,75.0%,75.0%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/monlusso-238808,https://product-cdn.systembolaget.se/productimages/1160911/1160911,Barbera
"Castelmondo, Prosecco Extra Dry",Winepartners Nordic AB,,11.0,750.0,69.0,Italy,Veneto,Prosecco,Sparkling wine,Dry white,Served at 8-10 ° C as an aperitif or with seafood dishes.,"Fruity, youthful taste with hints of pear, green apples, citrus and elder.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/castelmondo-7308501,https://product-cdn.systembolaget.se/productimages/23106029/23106029,Glera
"Passorone, Appassimento",Vini Buoni AB,,15.0,750.0,99.0,Italy,,,Red wine,Fruity & Tasty,Served at 16-18 ° C with grilled dishes of lamb and beef.,"Very fruity taste with hints of cask, rum raisins, chocolate, cherries and vanilla.",0.0%,0.0%,75.0%,75.0%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/passorone-7862501,https://product-cdn.systembolaget.se/productimages/24422710/24422710,
"The Baron, Prosecco",Vinimundi AB,,11.0,750.0,79.0,Italy,Veneto,Prosecco,Sparkling wine,Dry white,"Served at 8-10 ° C as an aperitif, companion drink or with dishes of seafood.","Fruity taste with hints of pear, honeydew melon, citrus and peach.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/il-barone-7974101,https://sb-product-media-prod.azureedge.net/productimages/24450605/24450605,
"Lupi Reali, Trebbiano d'Abruzzo",Valle Reale,2019,12.5,3000.0,229.0,Italy,Abruzzo,Trebbiano d'Abruzzo,White wine,Fresh & Fruity,Served at 8-10 ° C with seafood dishes.,"Fruity taste with hints of pear, honeydew melon, herbs, almonds and citrus peel.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/lupi-reali-225208,https://product-cdn.systembolaget.se/productimages/939771/939771,Trebbiano
"Le Terroir, Reserve",Iconic Wines,2019,13.0,3000.0,199.0,France,,,Red wine,Spicy & Musty,"Served at 16-18 ° C with dishes of pork, lamb and beef.","Spicy, fruity taste with hints of forest raspberries, fresh herbs, cherries and pepper.",0.0%,0.0%,75.0%,58.333333333333336%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/le-terroir-7776308,https://product-cdn.systembolaget.se/productimages/24442375/24442375,
"De Bortoli, Spice Ramerling",De Bortoli,2019,12.5,3000.0,199.0,Australia,South Eastern Australia,,White wine,Grape & Floral,"Served at about 8 ° C with seafood dishes, preferably with hot and Asian touches, or as a social drink.","Floral, grape flavor with sweetness, hints of lychee, gray pear, honey, roses and spices.",0.0%,41.6666666666666767%,66.666666666666666%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/de-bortoli-640308,https://product-cdn.systembolaget.se/productimages/820278/820278,Spice traminer --- Riesling
"King's Parrot, Chardonnay",Giertz Vinimport AB,2019,12.5,1000.0,89.0,Australia,,,White wine,Fresh & Fruity,"Served at 8-10 ° C with vegetarian dishes, or with seafood dishes.","Fruity taste with hints of pineapple, honeydew melon, peach and citrus.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/king's-parrot-7482201,https://sb-product-media-prod.azureedge.net/productimages/24506342/24506342,
"Amarone della Valpolicella, Classico Campo del Titari Riserva",Luigi Brunelli,2015,16.5,750.0,757.0,Italy,Veneto,Valpolicella,Red wine,,"Served at about 18 ° C with tasty dishes of beef and venison, or with aged hard cheeses.","Nuanced, spicy taste with hints of cask, dried cherries, prunes, cocoa, rum raisins, nuts, pepper and orange.",0.0%,0.0%,83.33333333333334%,83.33333333333334%,83.33333333333334%,https://www.systembolaget.se/produkt/vin/amarone-della-valpolicella-7849801,https://product-cdn.systembolaget.se/productimages/891225/891225,Corvina --- Molinara --- Rondinella
"Ramos, Reserva",João Portugal Ramos,2018,14.0,750.0,89.0,Portugal,Alentejo,,Red wine,Fruity & Tasty,"Served at 16-18 ° C for dishes of pork or lamb, or for vegetarian dishes.","Fruity taste with hints of plums, dark cherries, spices and licorice.",0.0%,0.0%,75.0%,58.333333333333336%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/ramos-613901,https://product-cdn.systembolaget.se/productimages/49310/49310,Trincadeira --- Aragonez --- Syrah
"Veramonte, Gran Reserve Syrah",Veramonte,2018,14.0,750.0,149.0,Chile,Aconcagua,Casablanca,Red wine,,Served at 16-18 ° C with lamb and beef dishes.,"Nuanced, fruity taste with barrel character, hints of blackberries, lavender, plums, chocolate, white pepper, vanilla and raspberries.",0.0%,0.0%,75.0%,66.666666666666666%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/veramonte-228901,https://product-cdn.systembolaget.se/productimages/24398438/24398438,Syrah
"Ivory & Burt, Red Blend",Lange Twins Collection of Family Wines,2018,14.0,750.0,149.0,USA,California,Inland Valleys,Red wine,,"Served at 16-18 ° C with tasty, preferably grilled dishes of lamb and beef.","Very fruity, tasty wine with barrel character, hints of blackberries, bay leaves, black currants, mint, plums, cocoa, blueberries and vanilla.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/ivory-&-burt-249701,https://product-cdn.systembolaget.se/productimages/24397885/24397885,Cabernet sauvignon --- Petit sirah --- Syrah
"Casa Vinironia, Rosso Grande",Casa Vinironia,2019,13.0,1000.0,79.0,Italy,,,Red wine,Fruity & Tasty,"Served at 16-18 ° C with lamb or beef dishes, or with tasty vegetarian dishes.","Fruity taste with barrel character, hints of dark cherries, plums, coffee, cardamom and vanilla.",0.0%,0.0%,75.0%,58.333333333333336%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/casa-vinironia-7133501,https://product-cdn.systembolaget.se/productimages/24440772/24440772,
Merito Cream,Diez-Merito,,17.0,375.0,85.0,Spain,Andalusia,Jerez,Aperitif & Dessert,Sherry & Montilla,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/merito-cream-838002,https://product-cdn.systembolaget.se/productimages/1136539/1136539,
Swedish Winter,Saturn,,20.0,500.0,119.0,Sweden,,,Aperitif & Dessert,Mulled wine and mulled wine,Served heated or chilled as a social drink.,"Spicy, sweet taste with hints of orange, cinnamon, vanilla and ginger. Tons of whiskey.",0.0%,66.666666666666666%,0.0%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/svensk-vinter-8021302,https://product-cdn.systembolaget.se/productimages/16464080/16464080,
"Touch of Down Under, Shiraz Cabernet Sauvignon",Nordic Sea Winery,2019,14.0,750.0,79.0,Australia,,,Red wine,Fruity & Tasty,"Served at about 16 ° C with pork or lamb dishes, or vegetarian dishes.","Very fruity taste with hints of cask, blackberry, sweet licorice, blueberry and vanilla.",0.0%,0.0%,75.0%,58.333333333333336%,50.0%,https://www.systembolaget.se/produkt/vin/touch-of-down-under-640001,https://product-cdn.systembolaget.se/productimages/48235/48235,Cabernet Sauvignon --- Shiraz
"Crudo, Catarratto Zibibbo",Nordic Sea Winery,2017,12.5,3000.0,209.0,Italy,Sicily,,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/crudo-7411308,https://product-cdn.systembolaget.se/productimages/17646214/17646214,
"Jaume Serra, Rose Bouquet Cava Brut",Jaume Serra,,11.5,750.0,89.0,Spain,Cava,,Sparkling wine,Dry white,Served at 8-10 ° C as an aperitif or with seafood dishes.,"Fruity, very fresh taste with hints of green apples, minerals, biscuits, pears and lime.",0.0%,8.333333333333332%,83.33333333333334%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/jaume-serra-7339301,https://sb-product-media-prod.azureedge.net/productimages/24485461/24485461,Xarel-lo --- Macabeo --- Parellada
"Lindemans Bin 45, Cabernet Sauvignon",Lindemans,2019,14.0,3000.0,269.0,Australia,South Eastern Australia,,Red wine,Fruity & Tasty,Served at 16-18 ° C with lamb and beef dishes.,"Very fruity taste with hints of cask, black currants, plums, chocolate and mint.",0.0%,0.0%,75.0%,66.666666666666666%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/lindemans-bin-45-622608,https://product-cdn.systembolaget.se/productimages/42573/42573,Cabernet sauvignon
"Montes, Cabernet Sauvignon",Montes,2018,14.0,3000.0,269.0,Chile,Valle Central,,Red wine,Fruity & Tasty,Served at 16-18 ° C with lamb or beef dishes.,"Fruity taste with barrel character, hints of black currants, coffee, raisins, plums and chocolate.",0.0%,0.0%,75.0%,75.0%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/montes-273208,https://product-cdn.systembolaget.se/productimages/2335339/2335339,Cabernet sauvignon
"Graham's, Vintage Port",Graham's,2000,20.0,750.0,1000.0,Portugal,Douro,Postage,Aperitif & Dessert,Port,Served at about 18 ° C with well-ripened cheeses.,"Nuanced, sweet taste with hints of dates, plums, nuts, licorice, pepper and rum raisins.",0.0%,75.0%,0.0%,91.6666666666666666%,0.0%,https://www.systembolaget.se/produkt/vin/graham's-818301,https://sb-product-media-prod.azureedge.net/productimages/31619/31619,
Solymar,Nordic Sea Winery,,11.5,3000.0,169.0,Spain,,,White wine,Fresh & Fruity,"Served at 8-10 ° C with fish or seafood dishes, preferably salads.","Youthful, fruity taste with hints of pear, galia melon, peach and citrus.",0.0%,8.333333333333332%,75.0%,25.0%,0.0%,https://www.systembolaget.se/produkt/vin/solymar-7001608,https://product-cdn.systembolaget.se/productimages/22424199/22424199,
"P.Lex Piemonte, Barbera",Cantina Terre del Barolo,2018,14.0,750.0,125.0,Italy,Piedmont,,Red wine,Spicy & Musty,Served at about 18 ° C with lamb or beef dishes.,"Spicy, nuanced taste with barrel character, hints of dark cherries, chocolate, currants, allspice and vanilla.",0.0%,0.0%,75.0%,75.0%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/p.lex-piemonte-7953301,https://product-cdn.systembolaget.se/productimages/24408510/24408510,Barbera
"Lenz Moser, Dry Bear Reading",Lenz Moser,2017,9.0,375.0,175.0,Austria,Burgenland,Neusiedlersee,White wine,Sweet,Served at 8-10 ° C with fruit desserts or blue cheese.,"Nuanced, very fresh and sweet taste with hints of apricot jam, saffron, honey, dried pineapple, orange and almond paste.",0.0%,91.6666666666666666%,83.33333333333334%,91.6666666666666666%,0.0%,https://www.systembolaget.se/produkt/vin/lenz-moser-1292002,https://product-cdn.systembolaget.se/productimages/13359/13359,Pinot blanc --- Bouvier --- Scheurebe
"Chestnut, Organic Monastrell",Bodegas Castaño,2019,14.0,3000.0,199.0,Spain,Murcia,Yecla,Red wine,Fruity & Tasty,Served at 16-18 ° C with lamb or beef dishes.,"Fruity taste with hints of dark cherries, herbs, black currants and spices.",0.0%,0.0%,75.0%,66.666666666666666%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/castaño-205008,https://product-cdn.systembolaget.se/productimages/2388713/2388713,Monastrell
"Cava Aurèlia, Brut Nature Gran Reserva",Castell d'Age,2017,12.0,750.0,159.0,Spain,Cava,,Sparkling wine,Dry white,"Served at 8-10 ° C as an aperitif, or with fish or seafood dishes.","Nuanced, fruity, very fresh taste with hints of yellow apples, toast, nuts, gum and orange.",0.0%,8.333333333333332%,83.33333333333334%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/cava-aurèlia-792301,https://product-cdn.systembolaget.se/productimages/4310616/4310616,Xarel-lo --- Maccabeu --- Parellada --- Chardonnay
"Porta Vista, Brut",Iconic Wines,,12.0,750.0,79.0,Portugal,,,Sparkling wine,Dry white,"Served at 8-10 ° C as an aperitif, or with seafood dishes.","Fruity aroma with hints of green apples, pears, honeydew melon and citrus peel.",0.0%,16.66666666666666464%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/porta-vista-7612301,https://sb-product-media-prod.azureedge.net/productimages/24458320/24458320,
Chiara Condello,Chiara Condello,2017,14.0,750.0,149.0,Italy,Emilia-Romagna,Romagna,Red wine,Spicy & Musty,Served at 16-18 ° C with lamb and beef dishes.,"Nuanced, spicy taste with barrel character, hints of cherries, chocolate, basil, plums, nuts and cinnamon.",0.0%,0.0%,83.33333333333334%,66.666666666666666%,75.0%,https://www.systembolaget.se/produkt/vin/chiara-condello-9122401,https://product-cdn.systembolaget.se/productimages/24399272/24399272,Sangiovese
Meinklang Prose,Meinklang,2019,10.5,750.0,109.0,Austria,,,Rose wine,Fruity & Tasty,"Served at 8-10 ° C as a social drink or with dishes of light meat, preferably salads.","Fruity, pearly taste with hints of peach, strawberry, red apples and blood orange.",0.0%,16.66666666666666464%,75.0%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/meinklang-prosa-7401501,https://product-cdn.systembolaget.se/productimages/24401830/24401830,
